,east,north,depth,strike,dip,slip_m,rake,fault_name,point_index,htm_ind,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd,tau_ss,sig_nn
516,585269.1206946955,3186626.860621907,-1321.0,194.4526749835005,55.0,0.1,-90.0,,26,903,130.1494241814641,-4.689559684548606,-7.163441328288244,-3.114465789703404,110.61827112640896,105.14640130723967,-6.165101431034444,-5.034923908775166,112.54815667513924
517,585202.8497946755,3195297.8384698117,-1387.0,194.4526749835005,55.0,0.1,-90.0,,27,903,127.27298803313803,-5.475633244148074,1.403400811531657,4.473542731949685,96.27177181481204,103.74996708503234,-13.18632327357728,-2.721456727025135,108.78726554610384
518,585114.2317874038,3206859.295069178,-1809.0,194.4526749835005,55.0,0.1,-90.0,,28,903,117.1372614545917,4.958847656452407,8.986097315213263,7.1247499434473704,94.60903799000437,86.56207146018627,-14.314486320362384,10.392745474078978,106.58187829832238
519,592654.4158956781,3217036.897475292,-1433.0,194.4526749835005,55.0,0.1,-90.0,,29,903,123.04439699317044,-4.536750248705888,-7.692883496283111,1.143464153630632,86.03615806242752,97.18559152921884,-13.38608369498725,-5.9267660790270735,92.88061835909937
520,579478.8124104164,3168017.199080963,-3264.0,194.4526749835005,55.0,0.1,-90.0,,30,903,115.34812923188623,0.6418775107568886,0.8805732732658412,-4.719170369914481,96.2412483926646,93.78219611752007,-9.889519226773409,-1.5479680059033183,104.12431297996604
521,580690.7853809678,3176697.108381193,-3047.0,194.4526749835005,55.0,0.1,-90.0,,31,903,127.21818633938477,-0.5772073771808932,-1.5328176598410066,-2.1103896804977906,106.03535660548783,90.193587741572,-9.957707560378445,1.3307562767120407,111.62951344924348
522,584435.9830382323,3186841.590648083,-2821.0,194.4526749835005,55.0,0.1,-90.0,,32,903,132.69857079793425,-2.8207525314645108,-2.2952236783319875,0.8320637807698416,104.07526189103046,93.4855680157542,-12.286674529212476,0.20730186085727131,111.68061581387951
523,584369.7121382123,3195512.568495988,-2887.0,194.4526749835005,55.0,0.1,-90.0,,33,903,129.23320904039326,-1.0912232479992394,1.8306024472260218,-0.1419402227006098,94.9728658229245,92.21890666628069,-16.54827689640976,-0.05408492155337555,108.18205035255306
524,584281.0941309406,3207074.025095355,-3309.0,194.4526749835005,55.0,0.1,-90.0,,34,903,117.6562987391654,3.0891419223352647,0.3347097736699299,5.638271963080862,90.19042958027984,86.63463168373364,-13.33993319481074,6.098737999106564,97.05809584918305
525,591821.2782392149,3217251.627501468,-2933.0,194.4526749835005,55.0,0.1,-90.0,,35,903,118.44288081962559,-1.5101828260516685,-3.2121759344623326,1.0792455082918058,89.12267815266726,92.25337205016561,-12.18540278909218,-1.5631453126417638,96.21335014603218
526,578645.6747539535,3168231.9291071394,-4764.0,194.4526749835005,55.0,0.1,-90.0,,36,903,119.11183849514408,0.11574633456568809,1.1189067346767065,-4.983658765026659,93.24635393793307,92.66532456504228,-12.992084757527039,-2.4098431445329145,103.88097703334688
527,579857.6477245046,3176911.8384073693,-4547.0,194.4526749835005,55.0,0.1,-90.0,,37,903,127.94586862064592,-0.8008894297446288,1.0102949063335966,-2.12876764812788,99.87880621177469,88.53483198241186,-13.853641834580827,0.6337530237866766,110.3167807225574
